date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-11-09,5.4,5.23,450,"1993-11-02 2022-11-16",93.78,7.1,450,"1993-11-02 2022-11-16",7.96,4.41,450,"1993-11-02 2022-11-16",37.68,13.11,450,"1993-11-02 2022-11-16",-1.42,4.56,450,"1993-11-02 2022-11-16",71.38,14.37,450,"1993-11-02 2022-11-16",1.11,3.37,450,"1993-11-02 2022-11-16",9.6,8.14,450,"1993-11-02 2022-11-16",5.29,9.35,450,"1993-11-02 2022-11-16",4.77,9.11,445,"1993-11-02 2022-11-16",0.52,1.96,448,"1993-11-02 2022-11-16",0.6,2.18,322,"1993-11-02 2022-11-16",,,,
2023-11-08,5.5,5.18,450,"1993-11-01 2022-11-15",93.71,7.19,450,"1993-11-01 2022-11-15",8.1,4.39,450,"1993-11-01 2022-11-15",37.48,13.08,450,"1993-11-01 2022-11-15",-1.34,4.51,450,"1993-11-01 2022-11-15",71.13,14.43,450,"1993-11-01 2022-11-15",1.21,3.35,450,"1993-11-01 2022-11-15",9.37,7.96,450,"1993-11-01 2022-11-15",5.1,8.91,450,"1993-11-01 2022-11-15",4.66,8.76,448,"1993-11-01 2022-11-15",0.44,1.76,449,"1993-11-01 2022-11-15",0.5,1.96,317,"1993-11-01 2022-11-15",,,,
2023-11-07,5.57,5.14,450,"1993-10-31 2022-11-14",93.62,7.2,450,"1993-10-31 2022-11-14",8.23,4.35,450,"1993-10-31 2022-11-14",37.42,12.98,450,"1993-10-31 2022-11-14",-1.25,4.52,450,"1993-10-31 2022-11-14",70.76,14.47,450,"1993-10-31 2022-11-14",1.31,3.34,450,"1993-10-31 2022-11-14",9.31,7.96,450,"1993-10-31 2022-11-14",4.94,8.98,450,"1993-10-31 2022-11-14",4.58,8.84,448,"1993-10-31 2022-11-14",0.36,1.54,449,"1993-10-31 2022-11-14",0.5,1.94,313,"1993-10-31 2022-11-14",,,,
2023-11-06,5.74,5.17,450,"1993-10-30 2022-11-13",93.54,7.27,450,"1993-10-30 2022-11-13",8.43,4.39,450,"1993-10-30 2022-11-13",37.44,12.96,450,"1993-10-30 2022-11-13",-1.03,4.57,450,"1993-10-30 2022-11-13",70.7,14.75,450,"1993-10-30 2022-11-13",1.51,3.34,450,"1993-10-30 2022-11-13",9.39,8.07,450,"1993-10-30 2022-11-13",5,8.89,450,"1993-10-30 2022-11-13",4.71,8.86,448,"1993-10-30 2022-11-13",0.29,1.41,449,"1993-10-30 2022-11-13",0.4,1.86,309,"1993-10-30 2022-11-13",,,,
2023-11-05,5.9,5.13,450,"1993-10-29 2022-11-12",93.63,7.21,450,"1993-10-29 2022-11-12",8.6,4.38,450,"1993-10-29 2022-11-12",37.84,12.89,450,"1993-10-29 2022-11-12",-0.77,4.64,450,"1993-10-29 2022-11-12",70.96,14.85,450,"1993-10-29 2022-11-12",1.72,3.41,450,"1993-10-29 2022-11-12",9.58,8.18,450,"1993-10-29 2022-11-12",5.21,9.34,450,"1993-10-29 2022-11-12",4.92,9.28,448,"1993-10-29 2022-11-12",0.29,1.57,449,"1993-10-29 2022-11-12",0.4,1.87,306,"1993-10-29 2022-11-12",,,,
2023-11-04,5.98,5.13,450,"1993-10-28 2022-11-11",93.72,7.29,450,"1993-10-28 2022-11-11",8.66,4.4,450,"1993-10-28 2022-11-11",37.9,12.82,450,"1993-10-28 2022-11-11",-0.6,4.63,450,"1993-10-28 2022-11-11",71.13,14.84,450,"1993-10-28 2022-11-11",1.87,3.43,450,"1993-10-28 2022-11-11",9.67,8.21,450,"1993-10-28 2022-11-11",5.36,9.45,450,"1993-10-28 2022-11-11",5.06,9.39,448,"1993-10-28 2022-11-11",0.3,1.57,449,"1993-10-28 2022-11-11",0.4,1.87,306,"1993-10-28 2022-11-11",,,,
2023-11-03,6.01,5.09,450,"1993-10-27 2022-11-10",93.7,7.24,450,"1993-10-27 2022-11-10",8.74,4.42,450,"1993-10-27 2022-11-10",37.49,12.76,450,"1993-10-27 2022-11-10",-0.49,4.63,450,"1993-10-27 2022-11-10",70.87,14.91,450,"1993-10-27 2022-11-10",1.98,3.42,450,"1993-10-27 2022-11-10",9.54,8.13,450,"1993-10-27 2022-11-10",5.26,9.29,450,"1993-10-27 2022-11-10",4.97,9.25,447,"1993-10-27 2022-11-10",0.29,1.57,448,"1993-10-27 2022-11-10",0.4,1.87,305,"1993-10-27 2022-11-10",,,,
2023-11-02,6.07,5.09,450,"1993-10-26 2022-11-09",93.65,7.26,450,"1993-10-26 2022-11-09",8.86,4.41,450,"1993-10-26 2022-11-09",37.32,12.77,450,"1993-10-26 2022-11-09",-0.39,4.62,450,"1993-10-26 2022-11-09",70.6,15.1,450,"1993-10-26 2022-11-09",2.12,3.38,450,"1993-10-26 2022-11-09",9.56,7.95,450,"1993-10-26 2022-11-09",5.35,9.74,450,"1993-10-26 2022-11-09",5.09,9.72,447,"1993-10-26 2022-11-09",0.26,1.52,448,"1993-10-26 2022-11-09",0.4,1.87,303,"1993-10-26 2022-11-09",,,,
2023-11-01,6.22,4.97,450,"1993-10-25 2022-11-08",93.78,7.04,450,"1993-10-25 2022-11-08",9.05,4.36,450,"1993-10-25 2022-11-08",37.17,12.49,450,"1993-10-25 2022-11-08",-0.23,4.59,450,"1993-10-25 2022-11-08",70.36,14.83,450,"1993-10-25 2022-11-08",2.23,3.37,450,"1993-10-25 2022-11-08",9.39,7.81,450,"1993-10-25 2022-11-08",5.3,9.6,450,"1993-10-25 2022-11-08",5.03,9.58,446,"1993-10-25 2022-11-08",0.26,1.52,447,"1993-10-25 2022-11-08",0.4,1.87,302,"1993-10-25 2022-11-08",,,,
2023-10-31,6.28,4.95,450,"1993-10-24 2022-11-07",93.77,7,450,"1993-10-24 2022-11-07",9.15,4.34,450,"1993-10-24 2022-11-07",36.74,12.29,450,"1993-10-24 2022-11-07",0,4.59,450,"1993-10-24 2022-11-07",70.54,14.83,450,"1993-10-24 2022-11-07",2.37,3.36,450,"1993-10-24 2022-11-07",9.03,7.59,450,"1993-10-24 2022-11-07",5.19,9.48,450,"1993-10-24 2022-11-07",4.94,9.45,447,"1993-10-24 2022-11-07",0.25,1.52,448,"1993-10-24 2022-11-07",0.4,1.88,300,"1993-10-24 2022-11-07",,,,
2023-10-30,6.32,4.88,450,"1993-10-23 2022-11-06",93.83,6.91,450,"1993-10-23 2022-11-06",9.2,4.33,450,"1993-10-23 2022-11-06",36.4,12,450,"1993-10-23 2022-11-06",0.15,4.6,450,"1993-10-23 2022-11-06",70.58,14.64,450,"1993-10-23 2022-11-06",2.47,3.37,450,"1993-10-23 2022-11-06",8.94,7.44,450,"1993-10-23 2022-11-06",5.01,9.33,450,"1993-10-23 2022-11-06",4.77,9.29,447,"1993-10-23 2022-11-06",0.24,1.49,448,"1993-10-23 2022-11-06",0.3,1.83,299,"1993-10-23 2022-11-06",,,,
2023-10-29,6.4,4.89,450,"1993-10-22 2022-11-05",93.88,6.9,450,"1993-10-22 2022-11-05",9.32,4.32,450,"1993-10-22 2022-11-05",36.22,11.9,450,"1993-10-22 2022-11-05",0.34,4.54,450,"1993-10-22 2022-11-05",70.76,14.6,450,"1993-10-22 2022-11-05",2.59,3.33,450,"1993-10-22 2022-11-05",8.91,7.4,450,"1993-10-22 2022-11-05",4.97,9.35,450,"1993-10-22 2022-11-05",4.74,9.32,447,"1993-10-22 2022-11-05",0.22,1.48,448,"1993-10-22 2022-11-05",0.2,1.41,298,"1993-10-22 2022-11-05",,,,
2023-10-28,6.64,4.84,450,"1993-10-21 2022-11-04",93.96,6.71,450,"1993-10-21 2022-11-04",9.55,4.26,450,"1993-10-21 2022-11-04",36.17,12.03,450,"1993-10-21 2022-11-04",0.61,4.48,450,"1993-10-21 2022-11-04",71.15,14.63,450,"1993-10-21 2022-11-04",2.79,3.33,450,"1993-10-21 2022-11-04",9.08,7.61,450,"1993-10-21 2022-11-04",5.07,9.68,450,"1993-10-21 2022-11-04",4.91,9.66,448,"1993-10-21 2022-11-04",0.14,1.13,448,"1993-10-21 2022-11-04",0.1,0.85,296,"1993-10-21 2022-11-04",,,,
2023-10-27,6.75,4.8,450,"1993-10-20 2022-11-03",93.94,6.71,450,"1993-10-20 2022-11-03",9.65,4.21,450,"1993-10-20 2022-11-03",35.67,11.88,450,"1993-10-20 2022-11-03",0.83,4.43,450,"1993-10-20 2022-11-03",71.29,14.51,450,"1993-10-20 2022-11-03",2.93,3.33,450,"1993-10-20 2022-11-03",8.98,7.49,450,"1993-10-20 2022-11-03",5.02,9.63,450,"1993-10-20 2022-11-03",4.87,9.61,448,"1993-10-20 2022-11-03",0.12,1.09,448,"1993-10-20 2022-11-03",0.1,0.61,293,"1993-10-20 2022-11-03",,,,
2023-10-26,6.85,4.73,450,"1993-10-19 2022-11-02",93.96,6.61,450,"1993-10-19 2022-11-02",9.79,4.18,450,"1993-10-19 2022-11-02",35.6,12.04,450,"1993-10-19 2022-11-02",0.99,4.42,450,"1993-10-19 2022-11-02",71.22,14.35,450,"1993-10-19 2022-11-02",3.09,3.34,450,"1993-10-19 2022-11-02",8.92,7.51,450,"1993-10-19 2022-11-02",5.02,9.81,450,"1993-10-19 2022-11-02",4.9,9.78,448,"1993-10-19 2022-11-02",0.1,0.98,448,"1993-10-19 2022-11-02",0,0.36,292,"1993-10-19 2022-11-02",,,,
2023-10-25,6.92,4.68,450,"1993-10-18 2022-11-01",94.03,6.51,450,"1993-10-18 2022-11-01",9.84,4.15,450,"1993-10-18 2022-11-01",35.37,11.56,450,"1993-10-18 2022-11-01",1.16,4.43,450,"1993-10-18 2022-11-01",71.36,14.29,450,"1993-10-18 2022-11-01",3.22,3.37,450,"1993-10-18 2022-11-01",8.89,7.41,450,"1993-10-18 2022-11-01",4.94,9.95,450,"1993-10-18 2022-11-01",4.82,9.92,447,"1993-10-18 2022-11-01",0.09,0.96,447,"1993-10-18 2022-11-01",0,0.35,291,"1993-10-18 2022-11-01",,,,
2023-10-24,7.07,4.68,450,"1993-10-17 2022-10-31",94.17,6.43,450,"1993-10-17 2022-10-31",9.98,4.09,450,"1993-10-17 2022-10-31",35.35,11.48,450,"1993-10-17 2022-10-31",1.35,4.43,450,"1993-10-17 2022-10-31",71.57,14.44,450,"1993-10-17 2022-10-31",3.34,3.38,450,"1993-10-17 2022-10-31",8.7,7.23,450,"1993-10-17 2022-10-31",5.04,9.97,450,"1993-10-17 2022-10-31",4.91,9.94,447,"1993-10-17 2022-10-31",0.09,0.96,447,"1993-10-17 2022-10-31",0,0.35,290,"1993-10-17 2017-10-23",,,,
2023-10-23,7.29,4.75,450,"1993-10-16 2022-10-30",94.32,6.44,450,"1993-10-16 2022-10-30",10.18,4.14,450,"1993-10-16 2022-10-30",35.21,11.69,450,"1993-10-16 2022-10-30",1.57,4.4,450,"1993-10-16 2022-10-30",71.8,14.36,450,"1993-10-16 2022-10-30",3.51,3.35,450,"1993-10-16 2022-10-30",8.86,7.31,450,"1993-10-16 2022-10-30",5.61,11.31,450,"1993-10-16 2022-10-30",5.49,11.31,447,"1993-10-16 2022-10-30",0.09,0.96,447,"1993-10-16 2022-10-30",0,0.19,290,"1993-10-16 2017-10-23",,,,
2023-10-22,7.44,4.69,450,"1993-10-15 2022-10-29",94.42,6.24,450,"1993-10-15 2022-10-29",10.34,4.05,450,"1993-10-15 2022-10-29",35.13,11.67,450,"1993-10-15 2022-10-29",1.67,4.35,450,"1993-10-15 2022-10-29",71.64,14.08,450,"1993-10-15 2022-10-29",3.61,3.33,450,"1993-10-15 2022-10-29",8.86,7.28,450,"1993-10-15 2022-10-29",5.27,10.92,450,"1993-10-15 2022-10-29",5.16,10.91,447,"1993-10-15 2022-10-29",0.06,0.85,447,"1993-10-15 2022-10-29",0,0.06,290,"1993-10-15 2017-10-23",,,,
2023-10-21,7.57,4.66,450,"1993-10-14 2022-10-28",94.49,6.35,450,"1993-10-14 2022-10-28",10.48,4.04,450,"1993-10-14 2022-10-28",34.82,11.83,450,"1993-10-14 2022-10-28",1.77,4.3,450,"1993-10-14 2022-10-28",71.52,14.05,450,"1993-10-14 2022-10-28",3.73,3.27,450,"1993-10-14 2022-10-28",8.69,7.16,450,"1993-10-14 2022-10-28",5.13,10.76,450,"1993-10-14 2022-10-28",5.06,10.74,446,"1993-10-14 2022-10-28",0.04,0.3,446,"1993-10-14 2022-10-28",0,0.06,290,"1993-10-14 2017-10-23",,,,
2023-10-20,7.63,4.58,450,"1993-10-13 2022-10-27",94.5,6.21,450,"1993-10-13 2022-10-27",10.63,3.95,450,"1993-10-13 2022-10-27",34.48,11.71,450,"1993-10-13 2022-10-27",1.9,4.24,450,"1993-10-13 2022-10-27",71.22,14.27,450,"1993-10-13 2022-10-27",3.89,3.21,450,"1993-10-13 2022-10-27",8.69,6.96,450,"1993-10-13 2022-10-27",5.1,10.66,450,"1993-10-13 2022-10-27",5.05,10.66,446,"1993-10-13 2022-10-27",0.03,0.27,446,"1993-10-13 2022-10-27",0,0.06,289,"1993-10-13 2017-10-23",,,,
2023-10-19,7.67,4.44,450,"1993-10-12 2022-10-26",94.54,6,450,"1993-10-12 2022-10-26",10.73,3.84,450,"1993-10-12 2022-10-26",34.46,11.56,450,"1993-10-12 2022-10-26",1.99,4.08,450,"1993-10-12 2022-10-26",71.07,14.16,450,"1993-10-12 2022-10-26",3.95,3.15,450,"1993-10-12 2022-10-26",8.66,6.86,450,"1993-10-12 2022-10-26",5.15,10.85,450,"1993-10-12 2022-10-26",5.11,10.83,447,"1993-10-12 2022-10-26",0.02,0.26,447,"1993-10-12 2022-10-26",0,0,288,"1993-10-12 2017-10-23",,,,
2023-10-18,7.87,4.38,450,"1993-10-11 2022-10-25",94.62,5.72,450,"1993-10-11 2022-10-25",10.93,3.8,450,"1993-10-11 2022-10-25",34.48,11.67,450,"1993-10-11 2022-10-25",2.11,3.98,450,"1993-10-11 2022-10-25",70.94,13.98,450,"1993-10-11 2022-10-25",4.02,3.12,450,"1993-10-11 2022-10-25",8.6,6.93,450,"1993-10-11 2022-10-25",5.12,10.51,450,"1993-10-11 2022-10-25",5.08,10.48,447,"1993-10-11 2022-10-25",0.02,0.26,447,"1993-10-11 2022-10-25",0,0,288,"1993-10-11 2017-10-23",,,,
2023-10-17,7.96,4.44,450,"1993-10-10 2022-10-24",94.56,5.7,450,"1993-10-10 2022-10-24",11.08,3.87,450,"1993-10-10 2022-10-24",34.48,11.64,450,"1993-10-10 2022-10-24",2.25,3.98,450,"1993-10-10 2022-10-24",70.77,14.06,450,"1993-10-10 2022-10-24",4.19,3.15,450,"1993-10-10 2022-10-24",8.66,7,450,"1993-10-10 2022-10-24",5.14,10.55,450,"1993-10-10 2022-10-24",5.11,10.52,448,"1993-10-10 2022-10-24",0.02,0.26,448,"1993-10-10 2022-10-24",0,0,288,"1993-10-10 2017-10-23",,,,
2023-10-16,8.01,4.38,450,"1993-10-09 2022-10-23",94.53,5.64,450,"1993-10-09 2022-10-23",11.17,3.86,450,"1993-10-09 2022-10-23",34.61,11.66,450,"1993-10-09 2022-10-23",2.33,3.97,450,"1993-10-09 2022-10-23",70.38,14.21,450,"1993-10-09 2022-10-23",4.29,3.13,450,"1993-10-09 2022-10-23",8.93,7.24,450,"1993-10-09 2022-10-23",5.12,10.52,450,"1993-10-09 2022-10-23",5.09,10.49,448,"1993-10-09 2022-10-23",0.02,0.26,448,"1993-10-09 2022-10-23",0,0,288,"1993-10-09 2017-10-23",,,,
2023-10-15,8.18,4.33,450,"1993-10-08 2022-10-22",94.55,5.57,450,"1993-10-08 2022-10-22",11.37,3.8,450,"1993-10-08 2022-10-22",34.7,11.64,450,"1993-10-08 2022-10-22",2.43,3.96,450,"1993-10-08 2022-10-22",70.08,14.4,450,"1993-10-08 2022-10-22",4.41,3.05,450,"1993-10-08 2022-10-22",9.07,7.27,450,"1993-10-08 2022-10-22",5.31,10.71,450,"1993-10-08 2022-10-22",5.29,10.69,448,"1993-10-08 2022-10-22",0.02,0.26,448,"1993-10-08 2022-10-22",0,0,287,"1993-10-08 2017-10-22",,,,
2023-10-14,8.28,4.29,450,"1993-10-07 2022-10-21",94.55,5.52,450,"1993-10-07 2022-10-21",11.52,3.75,450,"1993-10-07 2022-10-21",34.6,11.63,450,"1993-10-07 2022-10-21",2.51,3.92,450,"1993-10-07 2022-10-21",69.68,14.5,450,"1993-10-07 2022-10-21",4.49,3.02,450,"1993-10-07 2022-10-21",8.84,7.22,450,"1993-10-07 2022-10-21",5.36,10.67,450,"1993-10-07 2022-10-21",5.34,10.65,448,"1993-10-07 2022-10-21",0.02,0.25,448,"1993-10-07 2022-10-21",0,0,286,"1993-10-07 2017-10-21",,,,
2023-10-13,8.4,4.26,450,"1993-10-06 2022-10-20",94.54,5.57,450,"1993-10-06 2022-10-20",11.66,3.78,450,"1993-10-06 2022-10-20",34.29,11.43,450,"1993-10-06 2022-10-20",2.58,3.93,450,"1993-10-06 2022-10-20",69.13,14.72,450,"1993-10-06 2022-10-20",4.58,2.99,450,"1993-10-06 2022-10-20",8.54,7,450,"1993-10-06 2022-10-20",5.21,10.41,450,"1993-10-06 2022-10-20",5.19,10.38,448,"1993-10-06 2022-10-20",0.02,0.25,448,"1993-10-06 2022-10-20",0,0,285,"1993-10-06 2011-10-20",,,,
2023-10-12,8.56,4.26,450,"1993-10-05 2022-10-19",94.57,5.53,450,"1993-10-05 2022-10-19",11.88,3.78,450,"1993-10-05 2022-10-19",34.48,11.14,450,"1993-10-05 2022-10-19",2.73,3.92,450,"1993-10-05 2022-10-19",69.13,14.93,450,"1993-10-05 2022-10-19",4.75,2.99,450,"1993-10-05 2022-10-19",8.48,6.84,450,"1993-10-05 2022-10-19",5.26,10.56,450,"1993-10-05 2022-10-19",5.24,10.53,448,"1993-10-05 2022-10-19",0.02,0.25,448,"1993-10-05 2022-10-19",0,0,285,"1993-10-05 2011-10-19",,,,
2023-10-11,8.6,4.21,450,"1993-10-04 2022-10-18",94.48,5.56,450,"1993-10-04 2022-10-18",11.97,3.75,450,"1993-10-04 2022-10-18",34.28,11.12,450,"1993-10-04 2022-10-18",2.8,3.9,450,"1993-10-04 2022-10-18",68.83,15.06,450,"1993-10-04 2022-10-18",4.84,2.99,450,"1993-10-04 2022-10-18",8.48,7,450,"1993-10-04 2022-10-18",5.03,10.26,450,"1993-10-04 2022-10-18",5.01,10.23,448,"1993-10-04 2022-10-18",0.01,0.25,448,"1993-10-04 2022-10-18",0,0,285,"1993-10-04 2011-10-18",,,,
2023-10-10,8.7,4.24,450,"1993-10-03 2022-10-17",94.42,5.46,450,"1993-10-03 2022-10-17",12.17,3.76,450,"1993-10-03 2022-10-17",34.31,11.2,450,"1993-10-03 2022-10-17",2.89,3.9,450,"1993-10-03 2022-10-17",68.33,14.89,450,"1993-10-03 2022-10-17",4.94,3.01,450,"1993-10-03 2022-10-17",8.56,7.04,450,"1993-10-03 2022-10-17",4.87,10.01,450,"1993-10-03 2022-10-17",4.87,9.97,449,"1993-10-03 2022-10-17",0.01,0.25,449,"1993-10-03 2022-10-17",0,0,285,"1993-10-03 2011-10-17",,,,
2023-10-09,8.89,4.32,450,"1993-10-02 2022-10-16",94.39,5.29,450,"1993-10-02 2022-10-16",12.45,3.89,450,"1993-10-02 2022-10-16",34.11,11.1,450,"1993-10-02 2022-10-16",3.11,4.03,450,"1993-10-02 2022-10-16",67.95,14.48,450,"1993-10-02 2022-10-16",5.16,3.13,450,"1993-10-02 2022-10-16",8.63,7.05,450,"1993-10-02 2022-10-16",4.77,10.01,450,"1993-10-02 2022-10-16",4.77,9.98,449,"1993-10-02 2022-10-16",0.01,0.25,449,"1993-10-02 2022-10-16",0,0,285,"1993-10-02 2011-10-16",,,,
